City,Country,Matched address,Latitude,Longitude
Alessandria,Italy,"Alessandria, Italy",44.912923,8.615321
Chieti,Italy,"Chieti, Italy",42.344653,14.165974
Palermo,Italy,"Palermo, Italy",38.111227,13.352443
Genova,Italy,"Genoa, Italy",44.40726,8.933862
Naples,Italy,"Naples, Napoli, Italy",40.835934,14.248783
Varese,Italy,"21100 Varese VA, Italy",45.817536,8.826344
Treviso,Italy,"31100 Treviso TV, Italy",45.665851,12.245541
Brescia,Italy,"Brescia, Italy",45.539802,10.220021
Bologna,Italy,"Bologna, Italy",44.493671,11.343035
Florence,Italy,"Florence, Italy",43.769871,11.255576
Trieste,Italy,"Triest, UTI Giuliana / Julijska MTU, Italy",45.650034,13.770656
Giugliano in Campania,Italy,"80014 Giugliano in Campania NA, Italy",40.928687,14.200699
Turin,Italy,"Turin, Torino, Italy",45.067755,7.682489
Verona,Italy,"Verona, Italy",45.438496,10.992412
Frascati,Italy,"00044 Frascati RM, Italy",41.808245,12.680368
Catania,Italy,"Catania, Italy",37.502236,15.08738
Brindisi,Italy,"Brindisi, Italy",40.63953,17.945526
Padova,Italy,"Padua, Padova, Italy",45.407717,11.873446
Duino,Italy,"34011 Duino / Devin UTI Giuliana / Julijska MTU, Italy",45.773392,13.604485
Udine,Italy,"33100 Udine UTI del Friuli Centrale, Italy",46.063463,13.235838
Pisa,Italy,"Pisa, Italy",43.71594,10.401862
Padua,Italy,"Padua, Padova, Italy",45.407717,11.873446
Lucca,Italy,"Lucca, Italy",43.842838,10.502876
Massa,Italy,"Massa, Massa-Carrara, Italy",44.035932,10.139552
Grosseto,Italy,"Grosseto, Italy",42.759726,11.113739
Pistoia,Italy,"51100 Pistoia PT, Italy",43.933621,10.917424
Birgu,Malta,"Birgu, Malta",35.888112,14.523845
Mosta,Malta,"Mosta, Malta",35.907918,14.424151
Gozo,Malta,"Gozo, Malta",36.046778,14.258257
Pembroke,Malta,"Pembroke, 1776, Malta",35.928131,14.479572
Marsa,Malta,"Marsa, Malta",35.882892,14.49449
Sliema,Malta,"Sliema, Malta",35.912761,14.502071
San Gwann,Malta,"Saint John, Malta",35.909305,14.478804
Tivat,Montenegro,"Tivat, Tivat Municipality, Montenegro",42.42888,18.700095
Podgorica,Montenegro,"Podgorica, Podgorica Municipality, Montenegro",42.441524,19.262108
Kotor,Montenegro,"Kotor, Kotor Municipality, Montenegro",42.424249,18.771267
Skopje,North Macedonia,"Skopje, Municipality of Centar, Macedonia",41.996092,21.43165
Lisbon,Portugal,"1100-148 Lisbon, Portugal",38.707751,-9.136592
Marinha Grande,Portugal,"Marinha Grande, Portugal",39.749595,-8.929889
Porto,Portugal,"4000 Porto, Portugal",41.149451,-8.610788
Tavira,Portugal,"Tavira, TVR, Portugal",37.126249,-7.649912
Madeira Island,Portugal,"Nuns Valley, Câmara de Lobos, Portugal",32.751749,-16.981752
Oeiras,Portugal,"OER, Portugal",38.712497,-9.2713
Setúbal,Portugal,"Setúbal, Portugal",38.517364,-8.896341
Lagoa,Portugal,"Lagoa, Portugal",37.747009,-25.578405
Sintra,Portugal,"SNT, Portugal",38.835561,-9.352225
Portimão,Portugal,"Portimão, Portugal",37.19421,-8.585577
PALMELA,Portugal,"Palmela, Portugal",38.626785,-8.792635
Faro,Portugal,"Faro, Portugal",37.053757,-7.931937
Rimini,San Marino,"47894 San Marino Unione di comuni Valmarecchia, Italy",43.801854,12.257825
San Marino,San Marino,San Marino,43.945862,12.458306
Belgrade,Serbia,"11000 Belgrade, Serbia",44.817813,20.456897
Beograd,Serbia,"11000 Belgrade, Serbia",44.817813,20.456897
Ljubljana,Slovenia,"Ljubljana, Upravna Enota Ljubljana, Slovenia",46.04998,14.50686
Barcelona,Spain,"Barcelona, Catalonia, Spain",41.382894,2.177432
Madrid,Spain,"28001 Madrid, Spain",40.416705,-3.703582
Alicante,Spain,"Alacant / Alicante, Valencian Community, Spain",38.353738,-0.490185
Elche,Spain,"Elx / Elche, Valencian Community, Spain",38.265318,-0.698849
Toledo,Spain,"Toledo, Castile-La Mancha, Spain",39.856068,-4.023957
Málaga,Spain,"Málaga, Andalusia, Spain",36.721303,-4.421637
Almería,Spain,"Almeria, Andalusia, Spain",36.84142,-2.462813
Pontevedra,Spain,"Galicia, Spain",42.607517,-8.471494
Islas Baleares,Spain,"Balearic Islands, Spain",39.549135,3.368247
Granada,Spain,"Granada, Andalusia, Spain",37.183054,-3.602193
Malaga,Spain,"Málaga, Andalusia, Spain",36.721303,-4.421637
Las Palmas,Spain,"Las Palmas de Gran Canaria, Canary Islands, Spain",28.128874,-15.434945
Valencia,Spain,"Valencia, Valencian Community, Spain",39.469901,-0.375951
Girona,Spain,,,
Majorca,Spain,"Sencelles, Balearic Islands, Spain",39.613402,2.880431
Palma De Mallorca,Spain,"Palma, Balearic Islands, Spain",39.569582,2.650075
Alcobendas,Spain,"Alcobendas, Community of Madrid, Spain",40.540008,-3.635849
Gran Canaria,Spain,"Tejeda, Canary Islands, Spain",27.958,-15.60623
Palma,Spain,"Palma, Balearic Islands, Spain",39.569582,2.650075
Córdoba,Spain,"Cordova, Andalusia, Spain",37.884581,-4.776014
Islas Canarias,Spain,"Islas Canarias, 13610 Campo de Criptana, Spain",39.401142,-3.134167
Tenerife,Spain,"La Orotava, Canary Islands, Spain",28.293579,-16.621447
Santiago de Compostela,Spain,"ES-15705 Santiago de Compostela, Spain",42.880422,-8.545861
Seville,Spain,"Seville, Andalusia, Spain",37.38863,-5.99534
Lanzarote,Spain,"Teguise, Canary Islands, Spain",29.039708,-13.636292
Alacant,Spain,"Alacant / Alicante, Valencian Community, Spain",38.353738,-0.490185
León,Spain,"León, Castile and León, Spain",42.599,-5.568241
Asturias,Spain,"Asturias, Spain",43.313387,-5.94192
La Coruña,Spain,"15001 A Coruña, Spain",43.371209,-8.395877
Zaragoza,Spain,"Aragon, Spain",41.840047,-1.169509
Vigo,Spain,"Vigo, Galicia, Spain",42.23766,-8.72472
A Coruña,Spain,"15001 A Coruña, Spain",43.371209,-8.395877
Getxo,Spain,"Getxo, Basque Country, Spain",43.347941,-3.008767
Murcia,Spain,"Murcia, Spain",37.99238,-1.130543
Pamplona,Spain,"Pamplona, Navarre, Spain",42.818454,-1.644256
Marbella,Spain,"Marbella, Andalusia, Spain",36.508976,-4.88562
Cádiz,Spain,"Cádiz, Andalusia, Spain",36.529829,-6.292568
Castellón de la Plana,Spain,"Castellón de la Plana, Valencian Community, Spain",39.986035,-0.037735
Tarragona,Spain,"Tarragona, Catalonia, Spain",41.117236,1.254606
Catalonia,Spain,"Catalonia, Spain",41.852309,1.574504
Mallorca,Spain,"Sencelles, Balearic Islands, Spain",39.613402,2.880431
Castelló,Spain,"Valencian Community, Spain",40.251857,-0.061505
Illes Balears,Spain,"Balearic Islands, Spain",39.549135,3.368247
Sevilla,Spain,"Seville, Andalusia, Spain",37.38863,-5.99534
Navarra,Spain,"Navarre, Spain",42.612549,-1.830788
Xàbia,Spain,"Xàbia / Jávea, Valencian Community, Spain",38.789391,0.163326
